year,city,name,proprietor,marker,source_line,ocr_note
1918,Madras,Blind's Hotel,,none,360871,
1918,Madras,Castle Hotel,,none,360873,
1918,Madras,Clarence,,none,360874,
1918,Madras,Commercial,,none,360875,
1918,Madras,Connemara,,none,360876,
1918,Madras,D'Angelis,,european_name,360877,
1918,Madras,Elphinstone (Branch),,none,360878,
1918,Madras,Langham,,none,360879,"OCR: I Ldiighaui"
1918,Madras,M. Sankara Iyer,M. Sankara Iyer,caste_surname,360880,
1918,Madras,Spencers,,none,360881,
1918,Madras,Victoria Family,,none,360882,
1918,Kotagiri,Grace Cottage,K. R. Kama,none,308818,
1918,Kotagiri,Shoreham,Mrs. Schnarre,none,308820,
1918,Kotagiri,Sylk's,G. D'Angelis & Son,none,308822,
1918,Kotagiri,Fir Grove,W. E. Smith,none,308823,
1918,Kotagiri,Royal Hotel,K. R. Kama,none,308825,
1918,Kotagiri,Westward Ho,Mrs. H. Keogh,none,308827,
1918,Kotagiri,Rosemont,Miss Beaker,none,308828,
1918,Kotagiri,Blue Mountain Hotel,W. E. Weborney,none,311436,"OCR: Webornoy"
1918,Coonoor,Glenview Hotel,Mrs. E. Whiston,none,311847,
1918,Coonoor,Hillgrove Hotel,John Eagan,none,311850,
1918,Coonoor,Hanson Hotel,Mr. Fenwick,none,311852,
1918,Pondicherry,Paris et Londres,Sooboo Krishnasamy Pillai,none,312598,
1918,Pondicherry,Grand Hotel de l'Europe,,none,312601,
1919,Cannanore,Esplanade Hotel,K. Chovi,none,289237,"OCR: Cho.vi"
1919,Kotagiri,Grace Cottage,K. R. Kama,none,293896,
1919,Kotagiri,Shoreham,Mrs. Schnarre,none,293897,
1919,Kotagiri,Sylk's,G. D'Angelis & Son,none,293899,
1919,Kotagiri,Fir Grove,W. E. Smith,none,293901,
1919,Kotagiri,Royal Hotel,K. R. Kama,none,293903,
1919,Kotagiri,Westward Ho,Mrs. H. Keogh,none,293905,
1919,Kotagiri,Rosemont,Miss Beaker,none,293907,
1919,Kotagiri,Blue Mountain Hotel,W. E. Weborney,none,296577,
1919,Coonoor,Glenview Hotel,Mrs. E. Whiston,none,296988,
1919,Coonoor,Hillgrove Hotel,John Eagan,none,296991,
1919,Coonoor,Hanson Hotel,Mr. Fenwick,none,296992,
1924,Mysore,Kingston Hotel (European Hotel),Noor Mahomed Sait and Dastigir,european_label,265612,
1924,Mysore,Savoy Hotel,,none,265615,
1924,Mysore,The Modern Hindu Hotel,,hindu_label,265617,"OCR: Modern Hindu Motel"
1924,Mysore,Hindus Hotel,K. R. Narahari Rao,hindu_label,265619,"proprietor surname Rao"
1924,Ootacamund,Westward Hotel,Mrs. S. T. Pardey,none,267979,
1924,Pondicherry,Paris et Londres,Sooboo Krishnasamy Pillai,none,271063,
1924,Pondicherry,Grand Hotel,R. Magry (manager),none,271065,
1924,Bangalore,New Hindu Hotel,,hindu_label,8965,"advertisement index entry"
1925,Madras,Ananda Bhavan,,vilas_bhavan,280348,
1925,Madras,Ananda Shanmuga Bhavan (The Hindu Restaurant),,hindu_label,280349,
1925,Madras,Ananda Shanmuga Vilas (Hindu Restaurant),,hindu_label,280351,
1925,Madras,Anantha Ganesa Bhavan (Hindu Restaurant),,hindu_label,280353,
1925,Madras,Bombay Arya Bhavan,,communal_label,280355,"Arya = Hindu reformist marker"
1925,Madras,Bonheur Restaurant,,none,280356,
1925,Madras,Brind's Hotel,,none,280357,
1925,Madras,Chandrasekhara Vilas Coffee Club,,vilas_bhavan,280358,
1925,Madras,City Restaurant,,none,280359,
1925,Madras,Clarence,,none,280360,
1925,Madras,Coimbatore Sweetmeat Bazaar,,regional_place,280361,
1925,Madras,Coronation Hindu Restaurant,,hindu_label,280370,
1925,Madras,Coronation Lodge (Meals),,none,280371,
1925,Madras,Delhi Ananda Bhavan,,vilas_bhavan,280372,
1925,Madras,D'Angelis,,european_name,280373,
1925,Madras,Devi Vilas Military Hotel,,military_label,280376,"military = non-vegetarian marker"
1925,Madras,English Restaurant,,european_label,280230,
1925,Madras,Gandhi Bhavan,,vilas_bhavan,280232,
1925,Madras,Ganesa Vilas (Hindu Restaurant),,hindu_label,280269,
1925,Madras,Hotel Connemara,,none,280271,
1925,Madras,Hotel Cosmopolitan,,none,280272,
1925,Madras,Hotel Mercantile,,none,280273,
1925,Madras,Hotel Terminus,,none,280274,
1925,Madras,Komala Vilas Boarding and Lodging,,vilas_bhavan,280276,
1925,Madras,Lakshmi Vilas,,vilas_bhavan,280278,
1925,Madras,Le Beau Restaurant,,none,280279,
1925,Madras,Lloyds Hotel,,none,280280,
1925,Madras,Madras Club,,none,280281,
1925,Madras,Princes Hotel,,none,280282,
1925,Madras,Sangam Coffee Club,,none,280283,
1925,Madras,Shanmuga Sundara Vilas,,vilas_bhavan,280284,
1925,Madras,Srivas Hotel,,none,280285,
1925,Madras,Spencer Hotel,,none,280286,
1925,Madura,Bhima Vilas,,vilas_bhavan,307349,
1925,Salem,Brahmin Bakery,K. S. Narasimhachariar,caste_label,317398,"bakery; adjacent trade"
1925,Mysore,The Modern Hindu Hotel,,hindu_label,310771,
1928,Madras,The Modern Hindu Hotel (Woods Road),,hindu_label,93351,"OCR: Modarn"
1928,Calcutta,Colonnades Hotel Ltd,,none,7624,"OCR: nlonttis He tel; classified all-India index"
1928,Madras,Harrison's Hotel,,none,7625,"OCR: HdriifloiiAl; uncertain reading"
